거래처,항목코드,중앙값,최빈값,최소,최대,건수,고유단가수,단가범위,표준단가,표준대비(%)
밝은미래,0706010,130.8,130.8,130.8,130.8,1,1,130(고정),,
밝은미래,303001,5000.0,5000.0,5000.0,5000.0,1,1,"5,000(고정)",2500.0,100.0
밝은미래,303002,5000.0,5000.0,5000.0,5000.0,1,1,"5,000(고정)",2500.0,100.0
밝은미래,703002,6000.0,6000.0,6000.0,6000.0,1,1,"6,000(고정)",7000.0,-14.3
밝은미래,703003,6000.0,6000.0,6000.0,6000.0,1,1,"6,000(고정)",,
밝은미래,706001,0.6,0.6,0.6,0.6,1,1,0(고정),,
밝은미래,706002,30.0,30.0,30.0,30.0,1,1,30(고정),,
밝은미래,706010,0.5,0.5,0.5,0.5,1,1,0(고정),,
부평구선거관리위원회,0303001,20000.0,20000.0,20000.0,20000.0,1,1,"20,000(고정)",,
부평구선거관리위원회,0303003,16460.0,16460.0,16460.0,16460.0,1,1,"16,460(고정)",,
부평구선거관리위원회,0703002,6070.0,6070.0,6070.0,6070.0,1,1,"6,070(고정)",,
부평구선거관리위원회,303002,22720.0,22720.0,22720.0,22720.0,1,1,"22,720(고정)",2500.0,808.8
부평구선거관리위원회,703002,6070.0,6070.0,6070.0,6070.0,1,1,"6,070(고정)",7000.0,-13.3
부평구선거관리위원회,M01,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
부평구선거관리위원회,MA-04652,107000.0,107000.0,107000.0,107000.0,1,1,"107,000(고정)",,
부평구선거관리위원회,MA00615,96800.0,96800.0,96800.0,96800.0,1,1,"96,800(고정)",,
북펀딩,001,50000.0,18000.0,18000.0,280000.0,3,3,"18,000~280,000",,
북펀딩,001001,50000.0,50000.0,50000.0,50000.0,7,1,"50,000(고정)",,
북펀딩,001002,50000.0,50000.0,50000.0,50000.0,10,1,"50,000(고정)",,
북펀딩,001006,115000.0,100000.0,100000.0,130000.0,2,2,"100,000~130,000",,
북펀딩,002,50000.0,50000.0,45876.0,50000.0,4,2,"45,876~50,000",,
북펀딩,006,30000.0,30000.0,30000.0,100000.0,7,2,"30,000~100,000",,
북펀딩,011,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
북펀딩,303001,5000.0,7000.0,2500.0,8500.0,20,7,"2,500~8,500",2500.0,100.0
북펀딩,303002,7000.0,7000.0,5000.0,10000.0,21,3,"5,000~10,000",2500.0,180.0
북펀딩,703002,7000.0,7000.0,6500.0,7000.0,42,2,"6,500~7,000",7000.0,0.0
북펀딩,706001,125125.0,250000.0,0.6,250000.0,14,7,"0~250,000",,
북펀딩,706002,50.0,50.0,50.0,50.0,1,1,50(고정),,
북펀딩,706009,300.0,300.0,300.0,300.0,1,1,300(고정),,
북펀딩,706010,140.325,0.65,0.65,280.0,2,2,0~280,,
북펀딩,706011,120000.0,120000.0,150.0,120000.0,4,2,"150~120,000",,
북펀딩,706015,100.0,100.0,100.0,100.0,1,1,100(고정),,
북펀딩,707001,87500.0,100000.0,41000.0,175000.0,10,9,"41,000~175,000",,
북펀딩,707002,6000.0,6000.0,6000.0,8500.0,3,2,"6,000~8,500",,
북펀딩,707009,900.0,50.0,50.0,1000.0,5,3,"50~1,000",,
북펀딩,707011,400.0,400.0,400.0,400.0,1,1,400(고정),,
